기종 (Model),항목 (Section),작업 (Task Description),링크 (Reference)
A380,D. Access Doors,Close the NLG doors,Ref. AMM TASK 32-22-00-410-801
A380,D. Access Doors,Open the fan cowl doors,Ref. AMM TASK 71-13-00-010-801
A380,D. Access Doors,Close the fan cowl doors,Ref. AMM TASK 71-13-00-410-801
A380,D. Access Doors,Open the thrust reverser doors,Ref. AMM TASK 78-26-00-010-801
A380,D. Access Doors,Close the thrust reverser doors,Ref. AMM TASK 78-26-00-410-801
A380,E. Fasteners,Belly fairing access-panels,Ref. AMM TASK 53-35-00-200-801
A380,E. Fasteners,Pylon fairing panels,Ref. AMM TASK 54-50-00-200-801
A380,E. Fasteners,Lower-deck FWD cargo-compartment lining panels,Ref. AMM TASK 50-13-00-210-801
A380,E. Fasteners,Lower-deck AFT cargo-compartment lining panels,Ref. AMM TASK 50-14-00-210-801
A380,E. Fasteners,Lower-deck bulk cargo-compartment lining panels,Ref. AMM TASK 50-15-00-210-801
A380,E. Fasteners,"Fan cowl doors, access panels and strakes",Ref. AMM TASK 71-13-41-200-801
A380,E. Fasteners,"Fan cowl latches, keepers and adjacent structure",Ref. AMM TASK 71-13-44-200-803
A380,E. Fasteners,Thrust-reverser flex shafts,Ref. AMM TASK 78-31-41-200-801
A380,E. Fasteners,Blocker doors,Ref. AMM TASK 78-32-00-220-801
A380,E. Fasteners,6 and 12 o'clock fire shields of the fan exhaust cowls,Ref. AMM TASK 78-32-00-210-810
A380,E. Fasteners,Inboard leading-edge access-panels,Ref. AMM TASK 57-41-00-200-802
A380,E. Fasteners,Mid leading-edge access-panels,Ref. AMM TASK 57-42-00-200-802
A380,E. Fasteners,Outboard leading-edge access-panels,Ref. AMM TASK 57-43-00-200-801
A380,F. Antennas,"Location of the Antennas, Probes, Sensors and External Lights","Ref. Fig. Location of the Antennas, Probes, Sensors and External Lights"
A380,G. Servicing,Check of the hydraulic-reservoir fluid level,Ref. AMM TASK 29-31-00-200-801
A380,G. Servicing,"General rules and main links to hydraulic systems (tests, bleeding, etc.)",Ref. AMM TASK 29-00-00-910-802
A380,G. Servicing,Check of the nitrogen pressure on normal and alternate brake accumulators with gage indications,Ref. AMM TASK 32-40-00-210-805
A380,G. Servicing,Inspection of the wheels and tires,Ref. AMM TASK 32-41-00-210-803
A380,G. Servicing,Inspection and wear check of the brakes,Ref. AMM TASK 32-40-00-200-801
A380,G. Servicing,Inspection and wear check of the brakes,Ref. AMM TASK 32-42-00-210-802
A380,G. Servicing,Charge the WLG shock absorber,Ref. AMM TASK 32-00-00-614-803
A380,G. Servicing,Charge the WLG shock absorber,Ref. AMM TASK 32-00-00-614-804
A380,G. Servicing,Charge the BLG shock absorber,Ref. AMM TASK 32-00-00-614-805
A380,G. Servicing,Charge the BLG shock absorber,Ref. AMM TASK 32-00-00-614-806
A380,G. Servicing,Charge the NLG shock absorber,Ref. AMM TASK 32-00-00-614-807
A380,G. Servicing,Charge the NLG shock absorber,Ref. AMM TASK 32-00-00-614-808
A380,G. Servicing,"Visual check of the WLG shock absorber (leakage, normal extension)",Ref. AMM TASK 32-11-00-210-801
A380,G. Servicing,"Visual check of the BLG shock absorber (leakage, normal extension)",Ref. AMM TASK 32-17-00-210-811
A380,G. Servicing,"Visual check of the NLG shock absorber (leakage, normal extension)",Ref. AMM TASK 32-21-00-210-806
A380,G. Servicing,Engine oil-level check and replenishing,Ref. AMM TASK 79-00-00-610-801
A380,G. Servicing,VFG oil-level check and replenishing,Ref. AMM TASK 24-21-00-612-801
A380,G. Servicing,APU oil-level check and replenishing,Ref. AMM TASK 49-91-00-612-802
A380,G. Servicing,Pressure refuel with automatic control,Ref. AMM TASK 28-25-00-650-803
A380,G. Servicing,Pressure refuel with automatic control,Ref. AMM TASK 28-25-00-650-805
A380,G. Servicing,Pressure refuel with manual control,Ref. AMM TASK 28-25-00-650-804
A380,G. Servicing,Drain water contents from the wing tanks,Ref. AMM TASK 28-11-00-281-803
A380,G. Servicing,Drain water contents from the trim tanks,Ref. AMM TASK 28-11-00-281-804
A380,G. Servicing,Replenishing of the passenger oxygen cylinders (if installed),Ref. AMM TASK 35-21-00-614-801
A380,G. Servicing,Operational test of manual and automatic activation of the emergency lighting system,Ref. AMM TASK 33-51-00-710-801
A380,G. Servicing,Operational test of the general illumination,Ref. AMM TASK 33-21-00-710-801
A380,G. Servicing,Fill the Potable Water System (PWS) with electrical power,Ref. AMM TASK 38-10-00-613-801
A380,G. Servicing,Fill the PWS without electrical power,Ref. AMM TASK 38-10-00-613-801
A380,G. Servicing,Drain the PWS with electrical power,Ref. AMM TASK 38-10-00-680-801
A380,G. Servicing,Drain the PWS without electrical power,Ref. AMM TASK 38-10-00-680-801
A380,G. Servicing,Servicing of the toilet system,Ref. AMM TASK 38-31-00-613-801
A380,G. Servicing,Servicing of the soap dispenser (if installed),Ref. AMM TASK 25-40-00-613-801
A380,G. Servicing,Parking or storage of the aircraft,Ref. AMM TASK 10-10-00-555-801
A380,G. Servicing,Clean the aircraft externally,Ref. AMM TASK 12-21-11-615-801
A380,G. Servicing,Clean the aircraft internally,Ref. AMM TASK 12-21-12-100-801
A380,G. Servicing,Anti-icing protection,Ref. AMM TASK 12-31-11-660-801
A380,G. Servicing,De-icing in an open area with engines stopped,Ref. AMM TASK 12-31-12-660-801
A380,G. Servicing,De-icing in an open area with engines in operation,Ref. AMM TASK 12-31-12-660-802
A380,G. Servicing,De-icing after landing with snow on the runways,Ref. AMM TASK 12-31-12-660-803
A321,H. Unscheduled,Find and measure all types of leaks,Ref. AMM TASK 05-50-00-790-001
A321,H. Unscheduled,Find all the unscheduled maintenance inspections,Ref. AMM 05-51-XX-06
A321,J. Standard Prac.,Find the standard procedures,AMM 20-20-00-00
A321,J. Standard Prac.,Find the standard torques,AMM 20-21-XX-02
A321,J. Standard Prac.,Find the installation and repair of tubings,Ref. AMM TASK 20-23-11-917-002
A321,J. Standard Prac.,Find the bonding procedures,Ref. AMM TASK 20-28-00-912-802
A321,J. Standard Prac.,Find the wiring standard procedures (Engine),Ref. AMM D/O 70-71-00-00
A321,J. Standard Prac.,Find the standard torques procedures (Engine),Ref. AMM TASK 70-23-11-911-013
